partID,trial,dft,class,gtsize,partsize,accuracy
p01,1,0.0543,borderline,BIG,BIG,1
p01,2,0.0653,borderline,BIG,BIG,1
p01,3,0.1051,borderline,BIG,BIG,1
p01,4,0.0648,borderline,BIG,BIG,1
p01,5,0.0339,borderline,BIG,BIG,1
p01,6,0.0596,borderline,SMALL,BIG,0
p01,7,0.1096,borderline,SMALL,BIG,0
p01,8,0.0314,borderline,SMALL,BIG,0
p01,9,0.1433,borderline,SMALL,BIG,0
p01,10,0.1655,borderline,SMALL,BIG,0
p01,11,0.2329,clearcut,BIG,BIG,1
p01,12,0.2341,clearcut,BIG,BIG,1
p01,13,0.2451,clearcut,BIG,BIG,1
p01,14,0.2091,clearcut,BIG,BIG,1
p01,15,0.4643,clearcut,SMALL,BIG,0
p01,16,0.6826,clearcut,SMALL,SMALL,1
p01,17,0.5112,clearcut,SMALL,SMALL,1
p01,18,0.5763,clearcut,SMALL,SMALL,1
p01,19,0.5002,clearcut,SMALL,SMALL,1
p01,20,0.2205,clearcut,BIG,BIG,1
p02,1,0.0543,borderline,BIG,SMALL,0
p02,2,0.0653,borderline,BIG,BIG,1
p02,3,0.1051,borderline,BIG,SMALL,0
p02,4,0.0648,borderline,BIG,BIG,1
p02,5,0.0339,borderline,BIG,BIG,1
p02,6,0.0596,borderline,SMALL,SMALL,1
p02,7,0.1096,borderline,SMALL,BIG,0
p02,8,0.0314,borderline,SMALL,BIG,0
p02,9,0.1433,borderline,SMALL,BIG,0
p02,10,0.1655,borderline,SMALL,SMALL,1
p02,11,0.2329,clearcut,BIG,SMALL,0
p02,12,0.2341,clearcut,BIG,BIG,1
p02,13,0.2451,clearcut,BIG,BIG,1
p02,14,0.2091,clearcut,BIG,BIG,1
p02,15,0.4643,clearcut,SMALL,SMALL,1
p02,16,0.6826,clearcut,SMALL,SMALL,1
p02,17,0.5112,clearcut,SMALL,SMALL,1
p02,18,0.5763,clearcut,SMALL,SMALL,1
p02,19,0.5002,clearcut,SMALL,SMALL,1
p02,20,0.2205,clearcut,BIG,BIG,1
p03,1,0.0543,borderline,BIG,BIG,1
p03,2,0.0653,borderline,BIG,BIG,1
p03,3,0.1051,borderline,BIG,BIG,1
p03,4,0.0648,borderline,BIG,BIG,1
p03,5,0.0339,borderline,BIG,BIG,1
p03,6,0.0596,borderline,SMALL,BIG,0
p03,7,0.1096,borderline,SMALL,BIG,0
p03,8,0.0314,borderline,SMALL,BIG,0
p03,9,0.1433,borderline,SMALL,BIG,0
p03,10,0.1655,borderline,SMALL,SMALL,1
p03,11,0.2329,clearcut,BIG,BIG,1
p03,12,0.2341,clearcut,BIG,BIG,1
p03,13,0.2451,clearcut,BIG,BIG,1
p03,14,0.2091,clearcut,BIG,BIG,1
p03,15,0.4643,clearcut,SMALL,SMALL,1
p03,16,0.6826,clearcut,SMALL,SMALL,1
p03,17,0.5112,clearcut,SMALL,SMALL,1
p03,18,0.5763,clearcut,SMALL,SMALL,1
p03,19,0.5002,clearcut,SMALL,SMALL,1
p03,20,0.2205,clearcut,BIG,BIG,1
p04,1,0.0543,borderline,BIG,SMALL,0
p04,2,0.0653,borderline,BIG,SMALL,0
p04,3,0.1051,borderline,BIG,SMALL,0
p04,4,0.0648,borderline,BIG,SMALL,0
p04,5,0.0339,borderline,BIG,BIG,1
p04,6,0.0596,borderline,SMALL,SMALL,1
p04,7,0.1096,borderline,SMALL,SMALL,1
p04,8,0.0314,borderline,SMALL,SMALL,1
p04,9,0.1433,borderline,SMALL,SMALL,1
p04,10,0.1655,borderline,SMALL,SMALL,1
p04,11,0.2329,clearcut,BIG,SMALL,0
p04,12,0.2341,clearcut,BIG,SMALL,0
p04,13,0.2451,clearcut,BIG,BIG,1
p04,14,0.2091,clearcut,BIG,BIG,1
p04,15,0.4643,clearcut,SMALL,SMALL,1
p04,16,0.6826,clearcut,SMALL,SMALL,1
p04,17,0.5112,clearcut,SMALL,SMALL,1
p04,18,0.5763,clearcut,SMALL,SMALL,1
p04,19,0.5002,clearcut,SMALL,SMALL,1
p04,20,0.2205,clearcut,BIG,BIG,1
p05,1,0.0543,borderline,BIG,SMALL,0
p05,2,0.0653,borderline,BIG,BIG,1
p05,3,0.1051,borderline,BIG,SMALL,0
p05,4,0.0648,borderline,BIG,BIG,1
p05,5,0.0339,borderline,BIG,SMALL,0
p05,6,0.0596,borderline,SMALL,SMALL,1
p05,7,0.1096,borderline,SMALL,SMALL,1
p05,8,0.0314,borderline,SMALL,SMALL,1
p05,9,0.1433,borderline,SMALL,SMALL,1
p05,10,0.1655,borderline,SMALL,SMALL,1
p05,11,0.2329,clearcut,BIG,SMALL,0
p05,12,0.2341,clearcut,BIG,BIG,1
p05,13,0.2451,clearcut,BIG,BIG,1
p05,14,0.2091,clearcut,BIG,BIG,1
p05,15,0.4643,clearcut,SMALL,SMALL,1
p05,16,0.6826,clearcut,SMALL,SMALL,1
p05,17,0.5112,clearcut,SMALL,SMALL,1
p05,18,0.5763,clearcut,SMALL,SMALL,1
p05,19,0.5002,clearcut,SMALL,SMALL,1
p05,20,0.2205,clearcut,BIG,BIG,1
p06,1,0.0543,borderline,BIG,BIG,1
p06,2,0.0653,borderline,BIG,BIG,1
p06,3,0.1051,borderline,BIG,BIG,1
p06,4,0.0648,borderline,BIG,BIG,1
p06,5,0.0339,borderline,BIG,BIG,1
p06,6,0.0596,borderline,SMALL,SMALL,1
p06,7,0.1096,borderline,SMALL,SMALL,1
p06,8,0.0314,borderline,SMALL,BIG,0
p06,9,0.1433,borderline,SMALL,BIG,0
p06,10,0.1655,borderline,SMALL,SMALL,1
p06,11,0.2329,clearcut,BIG,BIG,1
p06,12,0.2341,clearcut,BIG,BIG,1
p06,13,0.2451,clearcut,BIG,BIG,1
p06,14,0.2091,clearcut,BIG,BIG,1
p06,15,0.4643,clearcut,SMALL,SMALL,1
p06,16,0.6826,clearcut,SMALL,SMALL,1
p06,17,0.5112,clearcut,SMALL,SMALL,1
p06,18,0.5763,clearcut,SMALL,SMALL,1
p06,19,0.5002,clearcut,SMALL,SMALL,1
p06,20,0.2205,clearcut,BIG,BIG,1
p07,1,0.0543,borderline,BIG,BIG,1
p07,2,0.0653,borderline,BIG,BIG,1
p07,3,0.1051,borderline,BIG,BIG,1
p07,4,0.0648,borderline,BIG,BIG,1
p07,5,0.0339,borderline,BIG,BIG,1
p07,6,0.0596,borderline,SMALL,SMALL,1
p07,7,0.1096,borderline,SMALL,BIG,0
p07,8,0.0314,borderline,SMALL,BIG,0
p07,9,0.1433,borderline,SMALL,BIG,0
p07,10,0.1655,borderline,SMALL,BIG,0
p07,11,0.2329,clearcut,BIG,BIG,1
p07,12,0.2341,clearcut,BIG,BIG,1
p07,13,0.2451,clearcut,BIG,BIG,1
p07,14,0.2091,clearcut,BIG,BIG,1
p07,15,0.4643,clearcut,SMALL,SMALL,1
p07,16,0.6826,clearcut,SMALL,SMALL,1
p07,17,0.5112,clearcut,SMALL,SMALL,1
p07,18,0.5763,clearcut,SMALL,SMALL,1
p07,19,0.5002,clearcut,SMALL,SMALL,1
p07,20,0.2205,clearcut,BIG,BIG,1
p08,1,0.0543,borderline,BIG,SMALL,0
p08,2,0.0653,borderline,BIG,BIG,1
p08,3,0.1051,borderline,BIG,SMALL,0
p08,4,0.0648,borderline,BIG,BIG,1
p08,5,0.0339,borderline,BIG,BIG,1
p08,6,0.0596,borderline,SMALL,SMALL,1
p08,7,0.1096,borderline,SMALL,SMALL,1
p08,8,0.0314,borderline,SMALL,SMALL,1
p08,9,0.1433,borderline,SMALL,BIG,0
p08,10,0.1655,borderline,SMALL,SMALL,1
p08,11,0.2329,clearcut,BIG,BIG,1
p08,12,0.2341,clearcut,BIG,SMALL,0
p08,13,0.2451,clearcut,BIG,BIG,1
p08,14,0.2091,clearcut,BIG,BIG,1
p08,15,0.4643,clearcut,SMALL,SMALL,1
p08,16,0.6826,clearcut,SMALL,SMALL,1
p08,17,0.5112,clearcut,SMALL,SMALL,1
p08,18,0.5763,clearcut,SMALL,BIG,0
p08,19,0.5002,clearcut,SMALL,SMALL,1
p08,20,0.2205,clearcut,BIG,BIG,1
p09,1,0.0543,borderline,BIG,BIG,1
p09,2,0.0653,borderline,BIG,BIG,1
p09,3,0.1051,borderline,BIG,BIG,1
p09,4,0.0648,borderline,BIG,BIG,1
p09,5,0.0339,borderline,BIG,BIG,1
p09,6,0.0596,borderline,SMALL,BIG,0
p09,7,0.1096,borderline,SMALL,BIG,0
p09,8,0.0314,borderline,SMALL,BIG,0
p09,9,0.1433,borderline,SMALL,BIG,0
p09,10,0.1655,borderline,SMALL,SMALL,1
p09,11,0.2329,clearcut,BIG,BIG,1
p09,12,0.2341,clearcut,BIG,BIG,1
p09,13,0.2451,clearcut,BIG,BIG,1
p09,14,0.2091,clearcut,BIG,BIG,1
p09,15,0.4643,clearcut,SMALL,SMALL,1
p09,16,0.6826,clearcut,SMALL,SMALL,1
p09,17,0.5112,clearcut,SMALL,SMALL,1
p09,18,0.5763,clearcut,SMALL,SMALL,1
p09,19,0.5002,clearcut,SMALL,BIG,0
p09,20,0.2205,clearcut,BIG,BIG,1
